key	CTD_T0	CTD_T9	s82A_T0	s82A_T1	s82A_T2	s82A_T3	s82A_T4	s82A_T5	s82A_T6	s82A_T7	s82A_T8	s82A_T9	s83CDEEP_T0	s83CDEEP_T4	s83CDEEP_TP9	s83CMIDDLE_T4	s83CMIDDLE_TP9	s83CSHALLOW_T0	s83CSHALLOW_T4	s83CSHALLOW_T5	s83CSHALLOW_T9
1530			1.06657722094	1.06768821253	1.04436371038	1.14484572123	1.34058866877	0.98105717324	1.14838295482	1.03064293005	0.928458884293	1.01834652946	1.05119179889	1.10062688115	0.852367257296	1.27012357652	1.20008556006	1.08801562205	1.08235937326	1.12846843177	1.19746868007
1531			0.990939561969	1.0501461941	0.965256079714	1.06136785702	1.11428821793	0.595807665081	1.2657359575	0.986857964185	1.00226337568	1.00757577548	0.934591281383	0.97831823211	1.00207313969	0.765208802916	1.07914005561	1.10314986418	1.09378321831	0.958846034215	1.48313619063
1532	inf		1.10023781223	1.02342923225	1.06350897516	1.10742622215	1.32893533522	0.945633204209	1.86161631465	1.04530996424	1.0624080698	1.05292908886	0.944452259745	0.933767300672	0.93870782999	1.21331516395	1.19543737631	1.11042289136	1.48273359511	0.919806234309	0.99470886019
1533			1.03099292328	1.15134136392	1.31988133277	0.971098150822	1.26257912633	1.27277474902	0.653823872087	1.04761596916	1.17617955725	1.45595399444	1.12774560447	1.15912246279	1.03964884138	1.38367747717	1.21258800045	1.09083060122	0.99207648972	1.0841922696	1.53191183836
1534			0.981228082942	1.09449339796	1.18822759426	1.23143883354	1.42676369594	1.1967202073	1.78637348527	1.05245898784	1.13744127244	1.00297682174	1.00784421882	1.07190857754	0.815009689915	0.993944633928	1.08352762161	1.22503185135	2.00071987545	1.05535912436	1.31356186269
1535			1.08965983753	1.05184267294	1.10096085073	1.13392728851	1.10709070103	0.861653533115	1.72551397904	1.07557655511	1.09811986912	1.1815637784	1.11184747865	1.0921143416	1.23863727105	1.17034436418	1.06027990614	1.18913076576	1.04860331419	1.04207031555	0.919316072615
1536			1.02848237311	1.07405730509	1.07549420441	1.19799720388	1.20910143676	1.15626548387	1.48867854287	1.12758315327	1.16035489771	1.17809077736	1.07263740872	1.12280035448	0.939964231437	0.704911629858	0.983203798647	1.11736391806	1.08729599087	0.960304542508	1.1240825431
1537	inf		0.928509627103	0.966452448635	0.968259838412	1.14903004575	1.05732726667	1.21269326722	1.85296374689	0.890408322983	0.867717767704	1.09917729376	0.973869462015	0.911028543286	0.859947538354	1.528419482	1.27390341586	0.814166740018	0.475989305987	0.979658512605	1.14408791284
1538			1.05383096473	1.04250808111	1.1503179314	0.833473844652	0.820344519953	1.04729941616	0.727495027203	0.968236525645	0.863322345321	1.01703489822	1.18020720704	0.913929349928	0.92218789106	2.9689937247	1.11308077104	1.14106550547	1.13171235171	1.29339658862	1.0432375237
1539			1.17601637992	1.16769112864	1.01223043807	1.05988488388	1.06865570511	1.24103292115	1.07523754368	1.07356401414	1.14194659228	1.19831260089	1.37238274448	1.20104852775	1.18638787357	1.23412722926	1.08872680538	1.12152528489	0.764902156687	0.914643757427	0.984925827798
1540	inf		0.999394064415	1.04789651028	1.07547788629	0.963142157981	1.13761191143	0.811747129065	0.817860969924	1.02628653421	0.987790432419	1.04708134046	0.829237036128	1.09034160145	0.880673465454	1.10005709489	1.00385591442	1.06520772494	0.936142062389	0.994848555998	1.56976018318
1541			0.0875507516576	0.00410073362312	0.0151972997899	0.0	0.00685728660568	0.0	0.0	0.0644171745397	0.0255496015567	0.0498168005972	0.0208231426779	0.0106529936855	0.0	0.0	0.0312328329545	0.0323791404125	0.0	0.0	0.0
