# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	unfiltered_singletons	pass_min_insert	filtered_singletons	unfiltered_pairs	mean_PID	pass_min_mapq	mean_pair_length	mean_insert_distance	mean_mapq_score	pass_max_insert	mean_mistmaches	unfiltered_reads	median_insert	unfiltered_priority_reads	pass_min_read_ani	filtered_priority_reads
NORP83_22	1252	1251	97	1252.0	0	1252	0.9927448461525442	1251.0	219.66932907348243	173.5055910543131	41.00079872204473	1252.0	1.5950479233226835	2601	165.0	0	1252.0	0
NORP83_23	1421	1421	66	1421.0	0	1421	0.9972118812827148	1421.0	220.63194933145672	175.22026741731173	41.984517945109076	1421.0	0.6115411681914145	2908	165.0	0	1421.0	0
NORP83_24	1788	1783	285	1788.0	0	1788	0.9908038760120064	1784.0	219.38422818791943	176.6890380313199	39.048098434004466	1787.0	2.0145413870246087	3861	170.0	0	1788.0	0
NORP83_30	1237	1232	174	1237.0	0	1237	0.9881924079126072	1232.0	220.33953112368638	174.4187550525465	39.95472918350849	1237.0	2.5990299110751818	2648	166.0	0	1237.0	0
NORP83_35	768	768	153	768.0	0	768	0.9888110124225551	768.0	218.4609375	176.5	40.80859375	768.0	2.44140625	1689	169.5	0	768.0	0
NORP83_11	2671	2668	177	2671.0	0	2671	0.9915886676600452	2669.0	220.4477723698989	177.4073380756271	40.57918382628229	2671.0	1.8506177461624858	5519	168.0	0	2670.0	0
NORP83_36	1434	1429	111	1434.0	0	1434	0.9919410034727778	1429.0	219.48465829846583	172.91771269177127	41.0258019525802	1434.0	1.7733612273361228	2979	164.0	0	1434.0	0
NORP83_37	927	926	105	927.0	0	927	0.9862644988421644	926.0	219.19848975188785	178.0	39.05177993527508	927.0	3.0097087378640777	1959	170.0	0	927.0	0
NORP83_33	783	783	156	783.0	0	783	0.9919912481912811	783.0	220.9220945083014	177.84674329501914	41.51596424010217	783.0	1.771392081736909	1722	170.0	0	783.0	0
NORP83_38	963	962	186	963.0	0	963	0.9877439713969354	962.0	218.97819314641742	173.19626168224298	39.67393561786085	963.0	2.6666666666666665	2112	162.0	0	963.0	0
NORP83_5	6238	6229	507	6238.0	0	6238	0.9944423087322372	6235.0	220.72186598268678	188.04023725553063	40.964892593780064	6232.0	1.223949983969221	12983	170.0	0	6238.0	0
NORP83_29	2169	2168	246	2169.0	0	2169	0.9891668414903124	2168.0	219.6118026740433	179.66758875057633	38.69663439372983	2169.0	2.3697556477639465	4584	169.0	0	2169.0	0
NORP83_46	857	857	204	857.0	0	857	0.9901650743884374	857.0	219.25787631271882	172.6382730455076	39.337222870478406	857.0	2.150525087514586	1918	164.0	0	857.0	0
NORP83_44	776	775	160	776.0	0	776	0.9952629485377398	775.0	220.40463917525773	176.85953608247422	39.6520618556701	776.0	1.0425257731958764	1712	170.0	0	776.0	0
NORP83_45	794	783	154	794.0	0	794	0.9881751582931836	783.0	219.14231738035264	176.7972292191436	29.964735516372794	794.0	2.590680100755668	1742	165.0	0	794.0	0
NORP83_20	2440	2440	205	2440.0	0	2440	0.992059943253193	2440.0	219.49754098360657	177.4627049180328	35.20819672131148	2440.0	1.7434426229508198	5085	168.0	0	2440.0	0
NORP83_42	793	793	112	793.0	0	793	0.988760872653624	793.0	220.58007566204287	178.56494325346782	40.885245901639344	793.0	2.4842370744010087	1698	169.0	0	793.0	0
NORP83_39	1268	1267	241	1268.0	0	1268	0.9892553502504592	1267.0	220.1640378548896	180.88643533123027	37.30441640378549	1268.0	2.367507886435331	2777	172.0	0	1268.0	0
NORP83_19	3804	3803	403	3804.0	0	3804	0.9907326001071066	3804.0	219.8948475289169	178.00578338590958	39.44400630914826	3803.0	2.0386435331230284	8011	169.0	0	3804.0	0
NORP83_32	2326	2274	125	2326.0	0	2326	0.9958841762710916	2274.0	220.3675838349097	178.06964746345662	35.03396388650043	2326.0	0.9088564058469476	4777	170.0	0	2326.0	0
NORP83_54	754	754	155	754.0	0	754	0.9909551778438646	754.0	219.8076923076923	177.98541114058358	40.696286472148536	754.0	1.9814323607427056	1663	169.0	0	754.0	0
NORP83_52	577	577	243	577.0	0	577	0.9871828836751966	577.0	219.4107452339688	174.92720970537258	39.79202772963605	577.0	2.7954939341421143	1397	164.0	0	577.0	0
NORP83_48	1042	1042	111	1042.0	0	1042	0.991659025402086	1042.0	220.225527831094	177.67754318618043	34.745681381957766	1042.0	1.8358925143953932	2195	172.0	0	1042.0	0
NORP83_7	4594	4498	298	4594.0	0	4594	0.9916947342943824	4501.0	220.090335219852	176.83260774923818	36.98215063125817	4592.0	1.8262951676099262	9486	169.0	0	4593.0	0
NORP83_50	1092	1091	185	1092.0	0	1092	0.9919270032245155	1091.0	220.88553113553112	178.07967032967034	39.61721611721612	1092.0	1.7793040293040292	2369	168.0	0	1092.0	0
NORP83_31	2906	2906	304	2906.0	0	2906	0.9921411374906732	2906.0	220.44700619408118	176.48348245010322	41.32140399174123	2906.0	1.7295251204404678	6116	169.0	0	2906.0	0
NORP83_47	1498	1498	127	1498.0	0	1498	0.9925375430211384	1498.0	220.27903871829102	177.33377837116154	38.676234979973295	1498.0	1.6428571428571428	3123	170.0	0	1498.0	0
NORP83_51	932	932	189	932.0	0	932	0.9952559167527903	932.0	220.6244635193133	173.81223175965664	40.021459227467815	932.0	1.0418454935622317	2053	168.0	0	932.0	0
NORP83_58	678	677	148	678.0	0	678	0.9901813266381628	677.0	216.65339233038344	175.74778761061947	40.935103244837755	678.0	2.117994100294985	1504	168.0	0	678.0	0
NORP83_43	1781	1779	245	1781.0	0	1781	0.9929063614206476	1780.0	220.1246490735542	179.10724312184166	40.60696238068501	1780.0	1.5586749017405952	3807	171.0	0	1781.0	0
NORP83_55	853	853	99	853.0	0	853	0.990016827258278	853.0	218.8124267291911	174.31652989449	41.39859320046893	853.0	2.194607268464244	1805	167.0	0	853.0	0
NORP83_57	737	736	125	737.0	0	737	0.9923860885460056	736.0	219.92537313432842	176.56037991858886	40.862957937584795	737.0	1.6648575305291724	1599	170.0	0	737.0	0
NORP83_26	3148	3148	311	3148.0	0	3148	0.9906527382560288	3148.0	220.05654383735703	175.85482846251588	40.1356416772554	3148.0	2.053367217280813	6607	169.0	0	3148.0	0
