# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	mean_mistmaches	unfiltered_pairs	pass_min_read_ani	median_insert	unfiltered_reads	mean_mapq_score	pass_min_mapq	unfiltered_priority_reads	pass_max_insert	unfiltered_singletons	pass_min_insert	mean_PID	mean_insert_distance	mean_pair_length	filtered_singletons	filtered_priority_reads
NORP83_59	842	841	1.1389548693586695	842	842.0	166.0	1798	41.03206650831354	841.0	0	842.0	114	842.0	0.9948018652742522	173.54988123515443	219.44536817102139	0	0
NORP83_66	854	854	1.7377049180327868	854	854.0	165.0	1789	40.899297423887596	854.0	0	854.0	81	854.0	0.9920798887700759	172.11592505854804	219.74824355971896	0	0
NORP83_60	987	985	2.349544072948328	987	987.0	167.0	2133	39.834853090172246	985.0	0	987.0	159	987.0	0.9892665423784224	172.26038500506584	218.53191489361703	0	0
NORP83_70	551	548	1.8039927404718692	551	551.0	160.0	1239	38.502722323049	548.0	0	551.0	137	551.0	0.991646949907634	167.35390199637027	217.5208711433757	0	0
NORP83_74	615	615	1.7252032520325202	615	615.0	161.0	1359	38.43577235772358	615.0	0	615.0	129	615.0	0.9921238542503509	171.1739837398374	218.46829268292683	0	0
NORP83_71	972	972	1.8353909465020577	972	972.0	167.0	2012	41.04115226337449	972.0	0	972.0	68	972.0	0.9916268489106164	174.0720164609054	219.9783950617284	0	0
NORP83_64	1651	1646	2.0920654149000604	1651	1651.0	165.0	3492	40.192610539067225	1646.0	0	1651.0	190	1651.0	0.9904899863600428	172.419745608722	219.73894609327684	0	0
NORP83_68	1057	1056	2.1125827814569536	1057	1057.0	166.0	2211	38.083254493850525	1056.0	0	1057.0	97	1057.0	0.9903300775719048	173.26490066225162	219.50331125827816	0	0
NORP83_79	1420	1420	1.5253521126760563	1420	1420.0	163.0	2918	40.569718309859155	1420.0	0	1420.0	78	1420.0	0.9930044112965888	170.7070422535211	218.87323943661968	0	0
NORP83_61	1702	1698	2.1586368977673325	1702	1702.0	162.0	3542	39.21562867215041	1699.0	0	1701.0	138	1702.0	0.9901656618214542	171.23207990599298	219.33901292596943	0	0
